# Static landmark catalogue for distant-zoom peaks and volcanoes.
# Matching is by wikidata=Q... only. Names are for human review.
# This file is intentionally maintained manually and may be refreshed infrequently.
# Existing hard-coded style rules remain authoritative until catalogue integration is visually validated.
#
# qid	name	origin
Q919151	Ослянка	legacy
Q4230794	Конжаковский Камень	legacy
Q1514176	Ямантау	legacy
Q43105	Эльбрус	legacy
Q2392222	Фишт	legacy
Q207680	Казбек	legacy
Q167044	Юдычвумчорр	legacy
Q724367	Белуха	legacy
Q20619813	пик Семенова-Тян-Шанского	legacy
Q608494	Талгар	legacy
Q13174519	Чок-Тал	legacy
Q20625014	Пик Данкова / Данков чокусу	legacy
Q211529	Хан-Тенгри	legacy
Q1963840	Манарага	legacy
Q72303	Арарат	legacy
Q513	Эверест	extended
Q43512	K2	extended
Q82019	Канченджанга	extended
Q583	Монблан	extended
Q39231	Фудзи	extended
Q1374	Маттерхорн	extended
Q210252	Ключевская Сопка	extended
Q40758	Демавенд	extended
Q80344	Олимп	extended
Q16990	Этна	extended
Q524	Везувий	extended

# Crimea / Eastern Europe
Q2092607	Роман-Кош	eurasia
Q1517833	Ай-Петри	eurasia
Q627508	Говерла	eurasia

# Northern, Western and Central Europe
Q203942	Galdhøpiggen	eurasia
Q214011	Kebnekaise	eurasia
Q208081	Aneto	eurasia
Q3388	Grossglockner	eurasia
Q81213	Gerlachovský štít	eurasia
Q746524	Moldoveanu Peak	eurasia
Q209341	Musala	eurasia
Q1024	Triglav	eurasia
Q209528	Mulhacén	eurasia

# Caucasus, Anatolia and Iranian highlands
Q217457	Shkhara	eurasia
Q203568	Mount Aragats	eurasia
Q725591	Mount Bazardüzü	eurasia
Q126804	Mount Erciyes	eurasia
Q1364168	Sabalan	eurasia

# Tien Shan and Pamir
Q332762	Jengish Chokusu / пик Победы	eurasia
Q838587	Lenin Peak / пик Ленина	eurasia
Q41413	Ismoil Somoni Peak	eurasia
Q545239	Peak Ozodi / пик Корженевской	eurasia

# Hindu Kush, Himalaya and Tibet
Q207132	Tirich Mir	eurasia
Q130736	Nanga Parbat	eurasia
Q16466024	Annapurna I	eurasia
Q168702	Lhotse	eurasia
Q229107	Mount Kailash	eurasia
Q1537157	Mount Gongga / Gongga Shan	eurasia

# Siberia, Mongolia and the Russian Far East
Q1091113	Khüiten Peak	eurasia
Q392246	Munku-Sardyk	eurasia
Q1092160	Tordoki Yani	eurasia

# East and Southeast Asia
Q107635	Baekdu / Paektu Mountain	eurasia
Q500275	Yushan Main Peak	eurasia
Q123782	Fansipan	eurasia
